Year,Time,Month,Price
2000-01,Apr,"Apr, 2000",22.51
2000-01,May,"May, 2000",26.6
2000-01,Jun,"Jun, 2000",28.49
2000-01,Jul,"Jul, 2000",27.26
2000-01,Aug,"Aug, 2000",28.33
2000-01,Sep,"Sep, 2000",31.34
2000-01,Oct,"Oct, 2000",30.5
2000-01,Nov,"Nov, 2000",30.93
2000-01,Dec,"Dec, 2000",23.25
2000-01,Jan,"Jan, 2001",24.02
2000-01,Feb,"Feb, 2001",25.92
2000-01,Mar,"Mar, 2001",23.82
2001-02,Apr,"Apr, 2001",24.82
2001-02,May,"May, 2001",26.95
2001-02,Jun,"Jun, 2001",26.63
2001-02,Jul,"Jul, 2001",23.99
2001-02,Aug,"Aug, 2001",25.01
2001-02,Sep,"Sep, 2001",24.79
2001-02,Oct,"Oct, 2001",20.05
2001-02,Nov,"Nov, 2001",18.24
2001-02,Dec,"Dec, 2001",18.24
2001-02,Jan,"Jan, 2002",18.92
2001-02,Feb,"Feb, 2002",19.53
2001-02,Mar,"Mar, 2002",23.31
2002-03,Apr,"Apr, 2002",25.03
2002-03,May,"May, 2002",24.99
2002-03,Jun,"Jun, 2002",24.05
2002-03,Jul,"Jul, 2002",25.18
2002-03,Aug,"Aug, 2002",25.86
2002-03,Sep,"Sep, 2002",27.5
2002-03,Oct,"Oct, 2002",26.9
2002-03,Nov,"Nov, 2002",23.68
2002-03,Dec,"Dec, 2002",27.11
2002-03,Jan,"Jan, 2003",29.59
2002-03,Feb,"Feb, 2003",31.31
2002-03,Mar,"Mar, 2003",28.83
2003-04,Apr,"Apr, 2003",24.21
2003-04,May,"May, 2003",24.99
2003-04,Jun,"Jun, 2003",26.43
2003-04,Jul,"Jul, 2003",27.46
2003-04,Aug,"Aug, 2003",28.66
2003-04,Sep,"Sep, 2003",26.27
2003-04,Oct,"Oct, 2003",28.45
2003-04,Nov,"Nov, 2003",28.23
2003-04,Dec,"Dec, 2003",28.97
2003-04,Jan,"Jan, 2004",30
2003-04,Feb,"Feb, 2004",29.65
2003-04,Mar,"Mar, 2004",32.21
2004-05,Apr,"Apr, 2004",32.37
2004-05,May,"May, 2004",36.08
2004-05,Jun,"Jun, 2004",34.16
2004-05,Jul,"Jul, 2004",36.35
2004-05,Aug,"Aug, 2004",40.52
2004-05,Sep,"Sep, 2004",39.15
2004-05,Oct,"Oct, 2004",43.38
2004-05,Nov,"Nov, 2004",38.9
2004-05,Dec,"Dec, 2004",36.82
2004-05,Jan,"Jan, 2005",40.96
2004-05,Feb,"Feb, 2005",42.67
2004-05,Mar,"Mar, 2005",49.27
2005-06,Apr,"Apr, 2005",49.43
2005-06,May,"May, 2005",47
2005-06,Jun,"Jun, 2005",52.72
2005-06,Jul,"Jul, 2005",55.01
2005-06,Aug,"Aug, 2005",60.05
2005-06,Sep,"Sep, 2005",59.74
2005-06,Oct,"Oct, 2005",56.28
2005-06,Nov,"Nov, 2005",53.14
2005-06,Dec,"Dec, 2005",55.05
2005-06,Jan,"Jan, 2006",60.54
2005-06,Feb,"Feb, 2006",58.95
2005-06,Mar,"Mar, 2006",60.01
2006-07,Apr,"Apr, 2006",67.06
2006-07,May,"May, 2006",67.22
2006-07,Jun,"Jun, 2006",66.9
2006-07,Jul,"Jul, 2006",71.29
2006-07,Aug,"Aug, 2006",70.78
2006-07,Sep,"Sep, 2006",60.93
2006-07,Oct,"Oct, 2006",57.27
2006-07,Nov,"Nov, 2006",57.79
2006-07,Dec,"Dec, 2006",60.34
2006-07,Jan,"Jan, 2007",52.53
2006-07,Feb,"Feb, 2007",56.53
2006-07,Mar,"Mar, 2007",60.26
2007-08,Apr,"Apr, 2007",65.48
2007-08,May,"May, 2007",65.7
2007-08,Jun,"Jun, 2007",68.1
2007-08,Jul,"Jul, 2007",72.58
2007-08,Aug,"Aug, 2007",68.98
2007-08,Sep,"Sep, 2007",74.78
2007-08,Oct,"Oct, 2007",79.33
2007-08,Nov,"Nov, 2007",89.11
2007-08,Dec,"Dec, 2007",87.92
2007-08,Jan,"Jan, 2008",89.52
2007-08,Feb,"Feb, 2008",92.37
2007-08,Mar,"Mar, 2008",99.76
2008-09,Apr,"Apr, 2008",105.72
2008-09,May,"May, 2008",120.91
2008-09,Jun,"Jun, 2008",129.72
2008-09,Jul,"Jul, 2008",132.47
2008-09,Aug,"Aug, 2008",113.05
2008-09,Sep,"Sep, 2008",96.81
2008-09,Oct,"Oct, 2008",69.12
2008-09,Nov,"Nov, 2008",50.91
2008-09,Dec,"Dec, 2008",40.61
2008-09,Jan,"Jan, 2009",43.99
2008-09,Feb,"Feb, 2009",43.22
2008-09,Mar,"Mar, 2009",46.02
2009-10,Apr,"Apr, 2009",50.14
2009-10,May,"May, 2009",58
2009-10,Jun,"Jun, 2009",69.12
2009-10,Jul,"Jul, 2009",64.82
2009-10,Aug,"Aug, 2009",71.98
2009-10,Sep,"Sep, 2009",67.7
2009-10,Oct,"Oct, 2009",73.06
2009-10,Nov,"Nov, 2009",77.39
2009-10,Dec,"Dec, 2009",75.02
2009-10,Jan,"Jan, 2010",76.61
2009-10,Feb,"Feb, 2010",73.69
2009-10,Mar,"Mar, 2010",78.02
2010-11,Apr,"Apr, 2010",84.08
2010-11,May,"May, 2010",76.16
2010-11,Jun,"Jun, 2010",74.33
2010-11,Jul,"Jul, 2010",73.54
2010-11,Aug,"Aug, 2010",75.13
2010-11,Sep,"Sep, 2010",76.09
2010-11,Oct,"Oct, 2010",81.11
2010-11,Nov,"Nov, 2010",84.26
2010-11,Dec,"Dec, 2010",89.77
2010-11,Jan,"Jan, 2011",93.87
2010-11,Feb,"Feb, 2011",101.62
2010-11,Mar,"Mar, 2011",110.71
2011-12,Apr,"Apr, 2011",118.64
2011-12,May,"May, 2011",110.8
2011-12,Jun,"Jun, 2011",109.99
2011-12,Jul,"Jul, 2011",112.53
2011-12,Aug,"Aug, 2011",106.94
2011-12,Sep,"Sep, 2011",108.79
2011-12,Oct,"Oct, 2011",106.11
2011-12,Nov,"Nov, 2011",109.62
2011-12,Dec,"Dec, 2011",107.19
2011-12,Jan,"Jan, 2012",110.47
2011-12,Feb,"Feb, 2012",117.67
2011-12,Mar,"Mar, 2012",123.61
2012-13,Apr,"Apr, 2012",117.97
2012-13,May,"May, 2012",108.05
2012-13,Jun,"Jun, 2012",94.51
2012-13,Jul,"Jul, 2012",100.34
2012-13,Aug,"Aug, 2012",110.07
2012-13,Sep,"Sep, 2012",111.77
2012-13,Oct,"Oct, 2012",109.79
2012-13,Nov,"Nov, 2012",107.87
2012-13,Dec,"Dec, 2012",107.28
2012-13,Jan,"Jan, 2013",109.55
